timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/13 11:50:29.614, NVIDIA A800 80GB PCIe, 28 %, 7 %, 19113 MiB, 81920 MiB, 157.88 W
2026/08/13 11:50:30.614, NVIDIA A800 80GB PCIe, 95 %, 22 %, 19315 MiB, 81920 MiB, 282.35 W
2026/08/13 11:50:31.615, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19319 MiB, 81920 MiB, 254.11 W
2026/08/13 11:50:32.615, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19319 MiB, 81920 MiB, 291.21 W
2026/08/13 11:50:33.615, NVIDIA A800 80GB PCIe, 99 %, 23 %, 19319 MiB, 81920 MiB, 293.37 W
2026/08/13 11:50:34.615, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19319 MiB, 81920 MiB, 303.39 W
2026/08/13 11:50:35.615, NVIDIA A800 80GB PCIe, 98 %, 26 %, 19319 MiB, 81920 MiB, 208.90 W
2026/08/13 11:50:36.615, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19319 MiB, 81920 MiB, 299.81 W
2026/08/13 11:50:37.616, NVIDIA A800 80GB PCIe, 97 %, 25 %, 19319 MiB, 81920 MiB, 327.67 W
2026/08/13 11:50:38.616, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19319 MiB, 81920 MiB, 286.65 W
2026/08/13 11:50:39.616, NVIDIA A800 80GB PCIe, 96 %, 24 %, 19319 MiB, 81920 MiB, 271.35 W
2026/08/13 11:50:40.616, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19319 MiB, 81920 MiB, 297.63 W
2026/08/13 11:50:41.616, NVIDIA A800 80GB PCIe, 97 %, 22 %, 19319 MiB, 81920 MiB, 306.52 W
2026/08/13 11:50:42.617, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19319 MiB, 81920 MiB, 290.36 W
2026/08/13 11:50:43.617, NVIDIA A800 80GB PCIe, 96 %, 21 %, 19319 MiB, 81920 MiB, 289.56 W
2026/08/13 11:50:44.617, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19319 MiB, 81920 MiB, 286.64 W
2026/08/13 11:50:45.617, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19319 MiB, 81920 MiB, 279.11 W
2026/08/13 11:50:46.617, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19319 MiB, 81920 MiB, 283.24 W
2026/08/13 11:50:47.617, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19319 MiB, 81920 MiB, 279.44 W
2026/08/13 11:50:48.618, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19319 MiB, 81920 MiB, 290.46 W
2026/08/13 11:50:49.618, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19319 MiB, 81920 MiB, 279.70 W
2026/08/13 11:50:50.618, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19319 MiB, 81920 MiB, 232.96 W
2026/08/13 11:50:51.618, NVIDIA A800 80GB PCIe, 96 %, 21 %, 19319 MiB, 81920 MiB, 296.65 W
2026/08/13 11:50:52.618, NVIDIA A800 80GB PCIe, 99 %, 23 %, 19319 MiB, 81920 MiB, 309.71 W
2026/08/13 11:50:53.618, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19319 MiB, 81920 MiB, 313.40 W
2026/08/13 11:50:54.619, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19319 MiB, 81920 MiB, 299.20 W
2026/08/13 11:50:55.619, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19319 MiB, 81920 MiB, 296.50 W
2026/08/13 11:50:56.619, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19319 MiB, 81920 MiB, 296.96 W
2026/08/13 11:50:57.619, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19319 MiB, 81920 MiB, 316.70 W
2026/08/13 11:50:58.619, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19319 MiB, 81920 MiB, 297.36 W
2026/08/13 11:50:59.620, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19319 MiB, 81920 MiB, 282.91 W
2026/08/13 11:51:00.620, NVIDIA A800 80GB PCIe, 94 %, 24 %, 19319 MiB, 81920 MiB, 271.92 W
