timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 20:02:06.428, NVIDIA A800 80GB PCIe, 53 %, 13 %, 19233 MiB, 81920 MiB, 292.34 W
2026/08/24 20:02:07.432, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 283.06 W
2026/08/24 20:02:08.437, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19237 MiB, 81920 MiB, 285.87 W
2026/08/24 20:02:09.441, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 299.18 W
2026/08/24 20:02:10.445, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19237 MiB, 81920 MiB, 277.52 W
2026/08/24 20:02:11.450, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19237 MiB, 81920 MiB, 204.15 W
2026/08/24 20:02:12.454, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19237 MiB, 81920 MiB, 307.07 W
2026/08/24 20:02:13.458, NVIDIA A800 80GB PCIe, 99 %, 24 %, 19237 MiB, 81920 MiB, 283.74 W
2026/08/24 20:02:14.463, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19237 MiB, 81920 MiB, 294.47 W
2026/08/24 20:02:15.467, NVIDIA A800 80GB PCIe, 99 %, 25 %, 19237 MiB, 81920 MiB, 251.68 W
2026/08/24 20:02:16.471, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 291.85 W
2026/08/24 20:02:17.475, NVIDIA A800 80GB PCIe, 97 %, 25 %, 19237 MiB, 81920 MiB, 321.59 W
2026/08/24 20:02:18.480, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 287.66 W
2026/08/24 20:02:19.484, NVIDIA A800 80GB PCIe, 96 %, 24 %, 19237 MiB, 81920 MiB, 279.53 W
2026/08/24 20:02:20.488, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 297.89 W
2026/08/24 20:02:21.493, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19237 MiB, 81920 MiB, 279.95 W
2026/08/24 20:02:22.497, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19237 MiB, 81920 MiB, 240.82 W
2026/08/24 20:02:23.501, NVIDIA A800 80GB PCIe, 99 %, 26 %, 19237 MiB, 81920 MiB, 296.54 W
2026/08/24 20:02:24.505, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 293.98 W
2026/08/24 20:02:25.510, NVIDIA A800 80GB PCIe, 97 %, 25 %, 19237 MiB, 81920 MiB, 319.89 W
2026/08/24 20:02:26.514, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19237 MiB, 81920 MiB, 302.29 W
2026/08/24 20:02:27.518, NVIDIA A800 80GB PCIe, 96 %, 24 %, 19237 MiB, 81920 MiB, 305.09 W
2026/08/24 20:02:28.522, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 306.29 W
2026/08/24 20:02:29.527, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19237 MiB, 81920 MiB, 328.63 W
2026/08/24 20:02:30.531, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19237 MiB, 81920 MiB, 287.16 W
2026/08/24 20:02:31.535, NVIDIA A800 80GB PCIe, 97 %, 21 %, 19237 MiB, 81920 MiB, 287.70 W
2026/08/24 20:02:32.540, NVIDIA A800 80GB PCIe, 100 %, 23 %, 19237 MiB, 81920 MiB, 315.77 W
2026/08/24 20:02:33.544, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 295.43 W
2026/08/24 20:02:34.548, NVIDIA A800 80GB PCIe, 99 %, 25 %, 19237 MiB, 81920 MiB, 304.03 W
2026/08/24 20:02:35.553, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 313.21 W
2026/08/24 20:02:36.559, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19237 MiB, 81920 MiB, 282.94 W
2026/08/24 20:02:37.564, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19237 MiB, 81920 MiB, 312.92 W
